,period,stateRegionId,stateRegionDescription,coalRankId,coalRankDescription,mineTypeId,mineTypeDescription,average-employees,labor-hours,number-of-mines,production,productivity,average-employees-units,labor-hours-units,number-of-mines-units,production-units,productivity-units
1653,2005,EST,East Total,TOT,All,UND,Underground,8620.0,18876329.0,136.0,70948626,3.76,number of employees,hours,number of mines,short tons,short tons per labor hour
1654,2005,EST,East Total,BIT,Bituminous,SUR,Surface,,,208.0,22908234,,number of employees,hours,number of mines,short tons,short tons per labor hour
1655,2005,EST,East Total,ANT,Anthracite,SUR,Surface,,,54.0,1380348,,number of employees,hours,number of mines,short tons,short tons per labor hour
1656,2005,EST,East Total,TOT,All,SUR,Surface,4123.0,9055374.0,262.0,24288582,2.68,number of employees,hours,number of mines,short tons,short tons per labor hour
1657,2005,EST,East Total,BIT,Bituminous,ALL,All,,,330.0,93592568,,number of employees,hours,number of mines,short tons,short tons per labor hour
1658,2005,EST,East Total,ANT,Anthracite,ALL,All,,,68.0,1644640,,number of employees,hours,number of mines,short tons,short tons per labor hour
1659,2005,EST,East Total,TOT,All,ALL,All,12743.0,27931703.0,398.0,95237208,3.41,number of employees,hours,number of mines,short tons,short tons per labor hour
1660,2005,PRB,Powder River Basin,SUB,Subbituminous,SUR,Surface,,,16.0,429996484,,number of employees,hours,number of mines,short tons,short tons per labor hour
1661,2005,PRB,Powder River Basin,TOT,All,SUR,Surface,5053.0,10720186.0,16.0,429996484,40.11,number of employees,hours,number of mines,short tons,short tons per labor hour
1662,2005,PRB,Powder River Basin,SUB,Subbituminous,ALL,All,,,16.0,429996484,,number of employees,hours,number of mines,short tons,short tons per labor hour
1663,2005,PRB,Powder River Basin,TOT,All,ALL,All,5053.0,10720186.0,16.0,429996484,40.11,number of employees,hours,number of mines,short tons,short tons per labor hour
1664,2005,OK,Oklahoma,BIT,Bituminous,UND,Underground,,,1.0,465459,,number of employees,hours,number of mines,short tons,short tons per labor hour
1665,2005,OK,Oklahoma,TOT,All,UND,Underground,48.0,131280.0,1.0,465459,3.55,number of employees,hours,number of mines,short tons,short tons per labor hour
1666,2005,OK,Oklahoma,BIT,Bituminous,SUR,Surface,,,8.0,1391038,,number of employees,hours,number of mines,short tons,short tons per labor hour
1667,2005,OK,Oklahoma,TOT,All,SUR,Surface,148.0,391815.0,8.0,1391038,3.55,number of employees,hours,number of mines,short tons,short tons per labor hour
1668,2005,OK,Oklahoma,BIT,Bituminous,ALL,All,,,9.0,1856497,,number of employees,hours,number of mines,short tons,short tons per labor hour
1669,2005,OK,Oklahoma,TOT,All,ALL,All,196.0,523095.0,9.0,1856497,3.55,number of employees,hours,number of mines,short tons,short tons per labor hour
1670,2005,LA,Louisiana,LIG,Lignite,SUR,Surface,,,2.0,4160962,,number of employees,hours,number of mines,short tons,short tons per labor hour
1671,2005,LA,Louisiana,TOT,All,SUR,Surface,242.0,521395.0,2.0,4160962,7.98,number of employees,hours,number of mines,short tons,short tons per labor hour
1672,2005,LA,Louisiana,LIG,Lignite,ALL,All,,,2.0,4160962,,number of employees,hours,number of mines,short tons,short tons per labor hour
1673,2005,LA,Louisiana,TOT,All,ALL,All,242.0,521395.0,2.0,4160962,7.98,number of employees,hours,number of mines,short tons,short tons per labor hour
1674,2005,AR,Arkansas,BIT,Bituminous,SUR,Surface,,,1.0,2563,,number of employees,hours,number of mines,short tons,short tons per labor hour
1675,2005,AR,Arkansas,TOT,All,SUR,Surface,2.0,3197.0,1.0,2563,0.8,number of employees,hours,number of mines,short tons,short tons per labor hour
1676,2005,AR,Arkansas,BIT,Bituminous,ALL,All,,,1.0,2563,,number of employees,hours,number of mines,short tons,short tons per labor hour
1677,2005,AR,Arkansas,TOT,All,ALL,All,2.0,3197.0,1.0,2563,0.8,number of employees,hours,number of mines,short tons,short tons per labor hour
1678,2005,WSC,West South Central,BIT,Bituminous,UND,Underground,,,1.0,465459,,number of employees,hours,number of mines,short tons,short tons per labor hour
1679,2005,WSC,West South Central,TOT,All,UND,Underground,48.0,131280.0,1.0,465459,3.55,number of employees,hours,number of mines,short tons,short tons per labor hour
1680,2005,WSC,West South Central,LIG,Lignite,SUR,Surface,,,15.0,50099641,,number of employees,hours,number of mines,short tons,short tons per labor hour
1681,2005,WSC,West South Central,BIT,Bituminous,SUR,Surface,,,9.0,1393601,,number of employees,hours,number of mines,short tons,short tons per labor hour
1682,2005,WSC,West South Central,TOT,All,SUR,Surface,2588.0,5651676.0,24.0,51493242,9.11,number of employees,hours,number of mines,short tons,short tons per labor hour
1683,2005,WSC,West South Central,LIG,Lignite,ALL,All,,,15.0,50099641,,number of employees,hours,number of mines,short tons,short tons per labor hour
1684,2005,WSC,West South Central,BIT,Bituminous,ALL,All,,,10.0,1859060,,number of employees,hours,number of mines,short tons,short tons per labor hour
1685,2005,WSC,West South Central,TOT,All,ALL,All,2636.0,5782956.0,25.0,51958701,8.98,number of employees,hours,number of mines,short tons,short tons per labor hour
1686,2005,TN,Tennessee,BIT,Bituminous,UND,Underground,,,13.0,1223959,,number of employees,hours,number of mines,short tons,short tons per labor hour
1687,2005,TN,Tennessee,TOT,All,UND,Underground,318.0,554110.0,13.0,1223959,2.21,number of employees,hours,number of mines,short tons,short tons per labor hour
1688,2005,TN,Tennessee,BIT,Bituminous,SUR,Surface,,,15.0,1992885,,number of employees,hours,number of mines,short tons,short tons per labor hour
1689,2005,TN,Tennessee,TOT,All,SUR,Surface,373.0,1019498.0,15.0,1992885,1.95,number of employees,hours,number of mines,short tons,short tons per labor hour
1690,2005,TN,Tennessee,BIT,Bituminous,ALL,All,,,28.0,3216844,,number of employees,hours,number of mines,short tons,short tons per labor hour
1691,2005,TN,Tennessee,TOT,All,ALL,All,691.0,1573608.0,28.0,3216844,2.04,number of employees,hours,number of mines,short tons,short tons per labor hour
1692,2005,MS,Mississippi,LIG,Lignite,SUR,Surface,,,1.0,3555351,,number of employees,hours,number of mines,short tons,short tons per labor hour
1693,2005,MS,Mississippi,TOT,All,SUR,Surface,193.0,401051.0,1.0,3555351,8.87,number of employees,hours,number of mines,short tons,short tons per labor hour
1694,2005,MS,Mississippi,LIG,Lignite,ALL,All,,,1.0,3555351,,number of employees,hours,number of mines,short tons,short tons per labor hour
1695,2005,MS,Mississippi,TOT,All,ALL,All,193.0,401051.0,1.0,3555351,8.87,number of employees,hours,number of mines,short tons,short tons per labor hour
1696,2005,KYW,Kentucky (West),BIT,Bituminous,UND,Underground,,,13.0,21648052,,number of employees,hours,number of mines,short tons,short tons per labor hour
1697,2005,KYW,Kentucky (West),TOT,All,UND,Underground,2254.0,5489736.0,13.0,21648052,3.94,number of employees,hours,number of mines,short tons,short tons per labor hour
1698,2005,KYW,Kentucky (West),BIT,Bituminous,SUR,Surface,,,15.0,4763451,,number of employees,hours,number of mines,short tons,short tons per labor hour
1699,2005,KYW,Kentucky (West),TOT,All,SUR,Surface,446.0,931248.0,15.0,4763451,5.12,number of employees,hours,number of mines,short tons,short tons per labor hour
1700,2005,KYW,Kentucky (West),BIT,Bituminous,ALL,All,,,28.0,26411503,,number of employees,hours,number of mines,short tons,short tons per labor hour
1701,2005,KYW,Kentucky (West),TOT,All,ALL,All,2700.0,6420984.0,28.0,26411503,4.11,number of employees,hours,number of mines,short tons,short tons per labor hour
1702,2005,KYE,Kentucky (East),BIT,Bituminous,UND,Underground,,,211.0,52053790,,number of employees,hours,number of mines,short tons,short tons per labor hour
1703,2005,KYE,Kentucky (East),TOT,All,UND,Underground,8883.0,19691024.0,211.0,52053790,2.64,number of employees,hours,number of mines,short tons,short tons per labor hour
1704,2005,KYE,Kentucky (East),BIT,Bituminous,SUR,Surface,,,193.0,41268630,,number of employees,hours,number of mines,short tons,short tons per labor hour
1705,2005,KYE,Kentucky (East),TOT,All,SUR,Surface,5407.0,12136403.0,193.0,41268630,3.4,number of employees,hours,number of mines,short tons,short tons per labor hour
1706,2005,KYE,Kentucky (East),BIT,Bituminous,ALL,All,,,404.0,93322420,,number of employees,hours,number of mines,short tons,short tons per labor hour
1707,2005,KYE,Kentucky (East),TOT,All,ALL,All,14290.0,31827427.0,404.0,93322420,2.93,number of employees,hours,number of mines,short tons,short tons per labor hour
1708,2005,KY,Kentucky,BIT,Bituminous,UND,Underground,,,224.0,73701842,,number of employees,hours,number of mines,short tons,short tons per labor hour
